cuadro,vital_event,dim1_name,dim1_value,dim2_name,dim2_value,value
1.2,birth,mother_nationality,Total en el pais,father_nationality,TOTAL,123759
1.2,birth,mother_nationality,Total en el pais,father_nationality,Republica Dominicana,99148
1.2,birth,mother_nationality,Total en el pais,father_nationality,Estados Unidos,5874
1.2,birth,mother_nationality,Total en el pais,father_nationality,Haiti,719
1.2,birth,mother_nationality,Total en el pais,father_nationality,Venezuela,317
1.2,birth,mother_nationality,Total en el pais,father_nationality,Espana,74
1.2,birth,mother_nationality,Total en el pais,father_nationality,Colombia,63
1.2,birth,mother_nationality,Total en el pais,father_nationality,Cuba,58
1.2,birth,mother_nationality,Total en el pais,father_nationality,Canada,44
1.2,birth,mother_nationality,Total en el pais,father_nationality,Mexico,43
1.2,birth,mother_nationality,Total en el pais,father_nationality,China,37
1.2,birth,mother_nationality,Total en el pais,father_nationality,Italia,32
1.2,birth,mother_nationality,Total en el pais,father_nationality,Peru,32
1.2,birth,mother_nationality,Total en el pais,father_nationality,Francia,28
1.2,birth,mother_nationality,Total en el pais,father_nationality,Argentina,25
1.2,birth,mother_nationality,Total en el pais,father_nationality,Holanda,18
1.2,birth,mother_nationality,Total en el pais,father_nationality,Otros paises,197
1.2,birth,mother_nationality,Total en el pais,father_nationality,No declarada,17050
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,TOTAL,111080
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Republica Dominicana,97403
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Estados Unidos,275
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Haiti,593
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Venezuela,166
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Espana,56
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Colombia,44
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Cuba,32
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Canada,25
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Mexico,23
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,China,8
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Italia,25
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Peru,27
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Francia,23
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Argentina,17
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Holanda,16
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,Otros paises,144
1.2,birth,mother_nationality,Republica Dominicana,father_nationality,No declarada,12203
1.2,birth,mother_nationality,Haiti,father_nationality,TOTAL,11518
