cuadro,vital_event,dim1_name,dim1_value,dim2_name,dim2_value,value,anomaly,sex
2.6,death,geography,Total en el pais,deceased_age_band,TOTAL,43032,,both
2.6,death,geography,Total en el pais,deceased_age_band,Menos de un ano,675,,both
2.6,death,geography,Total en el pais,deceased_age_band,1-4,127,,both
2.6,death,geography,Total en el pais,deceased_age_band,5-9,93,,both
2.6,death,geography,Total en el pais,deceased_age_band,10-14,110,,both
2.6,death,geography,Total en el pais,deceased_age_band,15-19,424,,both
2.6,death,geography,Total en el pais,deceased_age_band,20-24,842,,both
2.6,death,geography,Total en el pais,deceased_age_band,25-29,965,,both
2.6,death,geography,Total en el pais,deceased_age_band,30-34,1049,,both
2.6,death,geography,Total en el pais,deceased_age_band,35-39,1123,,both
2.6,death,geography,Total en el pais,deceased_age_band,40-44,1327,,both
2.6,death,geography,Total en el pais,deceased_age_band,45-49,1582,,both
2.6,death,geography,Total en el pais,deceased_age_band,50-54,2242,,both
2.6,death,geography,Total en el pais,deceased_age_band,55-59,2879,,both
2.6,death,geography,Total en el pais,deceased_age_band,60-64,3446,,both
2.6,death,geography,Total en el pais,deceased_age_band,65-69,4071,,both
2.6,death,geography,Total en el pais,deceased_age_band,70-74,4559,,both
2.6,death,geography,Total en el pais,deceased_age_band,75-79,4700,,both
2.6,death,geography,Total en el pais,deceased_age_band,80-84,4275,,both
2.6,death,geography,Total en el pais,deceased_age_band,85 y mas,8400,,both
2.6,death,geography,Total en el pais,deceased_age_band,No declarada,143,,both
2.6,death,geography,Región Ozama,deceased_age_band,TOTAL,13699,,both
2.6,death,geography,Región Ozama,deceased_age_band,Menos de un ano,207,,both
2.6,death,geography,Región Ozama,deceased_age_band,1-4,49,,both
2.6,death,geography,Región Ozama,deceased_age_band,5-9,32,,both
2.6,death,geography,Región Ozama,deceased_age_band,10-14,32,,both
2.6,death,geography,Región Ozama,deceased_age_band,15-19,112,,both
2.6,death,geography,Región Ozama,deceased_age_band,20-24,268,,both
2.6,death,geography,Región Ozama,deceased_age_band,25-29,314,,both
2.6,death,geography,Región Ozama,deceased_age_band,30-34,336,,both
2.6,death,geography,Región Ozama,deceased_age_band,35-39,393,,both
2.6,death,geography,Región Ozama,deceased_age_band,40-44,444,,both
2.6,death,geography,Región Ozama,deceased_age_band,45-49,517,,both
2.6,death,geography,Región Ozama,deceased_age_band,50-54,726,,both
2.6,death,geography,Región Ozama,deceased_age_band,55-59,979,,both
2.6,death,geography,Región Ozama,deceased_age_band,60-64,1167,,both
2.6,death,geography,Región Ozama,deceased_age_band,65-69,1349,,both
2.6,death,geography,Región Ozama,deceased_age_band,70-74,1478,,both
2.6,death,geography,Región Ozama,deceased_age_band,75-79,1487,,both
2.6,death,geography,Región Ozama,deceased_age_band,80-84,1337,,both
2.6,death,geography,Región Ozama,deceased_age_band,85 y mas,2444,,both
2.6,death,geography,Región Ozama,deceased_age_band,No declarada,28,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,TOTAL,6428,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,Menos de un ano,95,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,1-4,14,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,5-9,13,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,10-14,7,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,15-19,31,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,20-24,73,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,25-29,89,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,30-34,141,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,35-39,169,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,40-44,221,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,45-49,238,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,50-54,331,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,55-59,456,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,60-64,593,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,65-69,666,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,70-74,677,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,75-79,693,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,80-84,626,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,85 y mas,1280,,both
2.6,death,geography,Distrito Nacional,deceased_age_band,No declarada,15,,both
2.6,death,geography,Santo Domingo,deceased_age_band,TOTAL,7271,,both
2.6,death,geography,Santo Domingo,deceased_age_band,Menos de un ano,112,,both
2.6,death,geography,Santo Domingo,deceased_age_band,1-4,35,,both
2.6,death,geography,Santo Domingo,deceased_age_band,5-9,19,,both
2.6,death,geography,Santo Domingo,deceased_age_band,10-14,25,,both
2.6,death,geography,Santo Domingo,deceased_age_band,15-19,81,,both
2.6,death,geography,Santo Domingo,deceased_age_band,20-24,195,,both
2.6,death,geography,Santo Domingo,deceased_age_band,25-29,225,,both
2.6,death,geography,Santo Domingo,deceased_age_band,30-34,195,,both
2.6,death,geography,Santo Domingo,deceased_age_band,35-39,224,,both
2.6,death,geography,Santo Domingo,deceased_age_band,40-44,223,,both
2.6,death,geography,Santo Domingo,deceased_age_band,45-49,279,,both
2.6,death,geography,Santo Domingo,deceased_age_band,50-54,395,,both
2.6,death,geography,Santo Domingo,deceased_age_band,55-59,523,,both
2.6,death,geography,Santo Domingo,deceased_age_band,60-64,574,,both
2.6,death,geography,Santo Domingo,deceased_age_band,65-69,683,,both
2.6,death,geography,Santo Domingo,deceased_age_band,70-74,801,,both
2.6,death,geography,Santo Domingo,deceased_age_band,75-79,794,,both
2.6,death,geography,Santo Domingo,deceased_age_band,80-84,711,,both
2.6,death,geography,Santo Domingo,deceased_age_band,85 y mas,1164,,both
2.6,death,geography,Santo Domingo,deceased_age_band,No declarada,13,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,TOTAL,7542,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,Menos de un ano,120,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,1-4,18,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,5-9,18,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,10-14,23,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,15-19,70,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,20-24,129,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,25-29,147,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,30-34,157,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,35-39,175,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,40-44,208,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,45-49,250,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,50-54,370,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,55-59,486,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,60-64,607,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,65-69,666,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,70-74,784,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,75-79,847,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,80-84,789,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,85 y mas,1651,,both
2.6,death,geography,Región Cibao Norte,deceased_age_band,No declarada,27,,both
2.6,death,geography,Espaillat,deceased_age_band,TOTAL,1303,,both
2.6,death,geography,Espaillat,deceased_age_band,Menos de un ano,11,,both
2.6,death,geography,Espaillat,deceased_age_band,1-4,3,,both
2.6,death,geography,Espaillat,deceased_age_band,5-9,4,,both
2.6,death,geography,Espaillat,deceased_age_band,10-14,1,,both
2.6,death,geography,Espaillat,deceased_age_band,15-19,12,,both
2.6,death,geography,Espaillat,deceased_age_band,20-24,19,,both
2.6,death,geography,Espaillat,deceased_age_band,25-29,27,,both
2.6,death,geography,Espaillat,deceased_age_band,30-34,22,,both
2.6,death,geography,Espaillat,deceased_age_band,35-39,32,,both
2.6,death,geography,Espaillat,deceased_age_band,40-44,41,,both
2.6,death,geography,Espaillat,deceased_age_band,45-49,49,,both
2.6,death,geography,Espaillat,deceased_age_band,50-54,62,,both
2.6,death,geography,Espaillat,deceased_age_band,55-59,92,,both
2.6,death,geography,Espaillat,deceased_age_band,60-64,89,,both
2.6,death,geography,Espaillat,deceased_age_band,65-69,105,,both
2.6,death,geography,Espaillat,deceased_age_band,70-74,126,,both
2.6,death,geography,Espaillat,deceased_age_band,75-79,150,,both
2.6,death,geography,Espaillat,deceased_age_band,80-84,145,,both
