cuadro,indicator,source_note,partner_specific,section,label,year,measure,value
13,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público y/o privado a lo largo de su vida o en la relación de pareja actual o anterior.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,,Total,2018,percent,68.8
13,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público y/o privado a lo largo de su vida o en la relación de pareja actual o anterior.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,zona de residencia,Urbana,2018,percent,68.1
13,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público y/o privado a lo largo de su vida o en la relación de pareja actual o anterior.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,zona de residencia,Rural,2018,percent,71.9
13,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público y/o privado a lo largo de su vida o en la relación de pareja actual o anterior.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,macro region geografica,Gran Santo Domingo,2018,percent,66.4
13,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público y/o privado a lo largo de su vida o en la relación de pareja actual o anterior.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,macro region geografica,Sur,2018,percent,69.8
13,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público y/o privado a lo largo de su vida o en la relación de pareja actual o anterior.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,macro region geografica,Este,2018,percent,49.4
13,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público y/o privado a lo largo de su vida o en la relación de pareja actual o anterior.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,macro region geografica,Norte o Cibao,2018,percent,78.5
14,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público a lo largo de su vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,,Total,2018,percent,51.7
14,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público a lo largo de su vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,zona de residencia,Urbana,2018,percent,51.7
14,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público a lo largo de su vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,zona de residencia,Rural,2018,percent,51.7
14,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público a lo largo de su vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,macro region geografica,Gran Santo Domingo,2018,percent,54.2
14,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público a lo largo de su vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,macro region geografica,Sur,2018,percent,48.6
14,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público a lo largo de su vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,macro region geografica,Este,2018,percent,35.2
14,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito público a lo largo de su vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,macro region geografica,Norte o Cibao,2018,percent,56.8
15,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito privado (a lo largo de la vida familiar o en la relación de pareja actual o anterior).,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,,Total,2018,percent,52.7
15,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito privado (a lo largo de la vida familiar o en la relación de pareja actual o anterior).,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,zona de residencia,Urbana,2018,percent,51.1
15,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito privado (a lo largo de la vida familiar o en la relación de pareja actual o anterior).,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,zona de residencia,Rural,2018,percent,60.2
15,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito privado (a lo largo de la vida familiar o en la relación de pareja actual o anterior).,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,macrorregion geografica,Gran Santo Domingo,2018,percent,44.8
15,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito privado (a lo largo de la vida familiar o en la relación de pareja actual o anterior).,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,macrorregion geografica,Sur,2018,percent,56.6
15,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito privado (a lo largo de la vida familiar o en la relación de pareja actual o anterior).,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,macrorregion geografica,Este,2018,percent,36.1
15,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito privado (a lo largo de la vida familiar o en la relación de pareja actual o anterior).,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,macrorregion geografica,Norte o Cibao,2018,percent,66.3
16,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito familiar a lo largo de la vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,,País,2018,percent,32.8
16,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito familiar a lo largo de la vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,zona de residencia,Urbana,2018,percent,31.1
16,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito familiar a lo largo de la vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,zona de residencia,Rural,2018,percent,41.0
16,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito familiar a lo largo de la vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,macrorregion geografica,Gran Santo Domingo,2018,percent,24.7
16,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito familiar a lo largo de la vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,macrorregion geografica,Sur,2018,percent,32.7
16,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito familiar a lo largo de la vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,macrorregion geografica,Este,2018,percent,21.0
16,Porcentaje de mujeres de 15 años y más que ha experimentado algún tipo de violencia en el ámbito familiar a lo largo de la vida.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,0,macrorregion geografica,Norte o Cibao,2018,percent,46.9
17,Porcentaje de mujeres de 15 años y más que ha experimentado en algún momento algún tipo de violencia perpetrada por su pareja íntima actual o anterior.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,,País,2018,percent,41.8
17,Porcentaje de mujeres de 15 años y más que ha experimentado en algún momento algún tipo de violencia perpetrada por su pareja íntima actual o anterior.,Encuesta Experimental sobre la Situación de las Mujeres (ENESIM)-2018,1,zona de residencia,Urbano,2018,percent,41.2
