cuadro,vital_event,kind,label,year,value
2.1-09,marriage,month,Abril,2016,4749
2.1-09,marriage,month,Abril,2017,3636
2.1-09,marriage,month,Abril,2018,4184
2.1-09,marriage,month,Abril,2019,4021
2.1-09,marriage,month,Abril,2020,0
2.1-09,marriage,month,Agosto,2016,4481
2.1-09,marriage,month,Agosto,2017,4055
2.1-09,marriage,month,Agosto,2018,4530
2.1-09,marriage,month,Agosto,2019,4353
2.1-09,marriage,month,Agosto,2020,3357
2.1-09,marriage,month,Diciembre,2016,6520
2.1-09,marriage,month,Diciembre,2017,6295
2.1-09,marriage,month,Diciembre,2018,5788
2.1-09,marriage,month,Diciembre,2019,6077
2.1-09,marriage,month,Diciembre,2020,5626
2.1-09,marriage,month,Enero,2016,4880
2.1-09,marriage,month,Enero,2017,5119
2.1-09,marriage,month,Enero,2018,4955
2.1-09,marriage,month,Enero,2019,5365
2.1-09,marriage,month,Enero,2020,5493
2.1-09,marriage,month,Febrero,2016,4335
2.1-09,marriage,month,Febrero,2017,4006
2.1-09,marriage,month,Febrero,2018,3839
2.1-09,marriage,month,Febrero,2019,4061
2.1-09,marriage,month,Febrero,2020,3871
2.1-09,marriage,month,Julio,2016,4622
2.1-09,marriage,month,Julio,2017,4178
2.1-09,marriage,month,Julio,2018,4161
2.1-09,marriage,month,Julio,2019,4539
2.1-09,marriage,month,Julio,2020,2787
2.1-09,marriage,month,Junio,2016,4329
2.1-09,marriage,month,Junio,2017,3790
2.1-09,marriage,month,Junio,2018,3737
2.1-09,marriage,month,Junio,2019,3335
2.1-09,marriage,month,Junio,2020,1748
2.1-09,marriage,month,Marzo,2016,4367
2.1-09,marriage,month,Marzo,2017,4282
2.1-09,marriage,month,Marzo,2018,4166
2.1-09,marriage,month,Marzo,2019,4339
2.1-09,marriage,month,Marzo,2020,2440
2.1-09,marriage,month,Mayo,2016,3412
2.1-09,marriage,month,Mayo,2017,3860
2.1-09,marriage,month,Mayo,2018,3941
2.1-09,marriage,month,Mayo,2019,4865
2.1-09,marriage,month,Mayo,2020,405
2.1-09,marriage,month,Noviembre,2016,3798
2.1-09,marriage,month,Noviembre,2017,3795
2.1-09,marriage,month,Noviembre,2018,3842
2.1-09,marriage,month,Noviembre,2019,3671
2.1-09,marriage,month,Noviembre,2020,3108
2.1-09,marriage,month,Octubre,2016,3504
2.1-09,marriage,month,Octubre,2017,3300
2.1-09,marriage,month,Octubre,2018,3527
2.1-09,marriage,month,Octubre,2019,3699
2.1-09,marriage,month,Octubre,2020,3156
2.1-09,marriage,month,Septiembre,2016,3901
2.1-09,marriage,month,Septiembre,2017,3309
2.1-09,marriage,month,Septiembre,2018,3397
2.1-09,marriage,month,Septiembre,2019,3613
2.1-09,marriage,month,Septiembre,2020,3113
2.1-09,marriage,month,total,2016,52898
2.1-09,marriage,month,total,2017,49625
2.1-09,marriage,month,total,2018,50067
2.1-09,marriage,month,total,2019,51938
2.1-09,marriage,month,total,2020,35104
2.1-10,marriage,geography,Azua,2016,583
2.1-10,marriage,geography,Azua,2017,669
2.1-10,marriage,geography,Azua,2018,766
2.1-10,marriage,geography,Azua,2019,789
2.1-10,marriage,geography,Azua,2020,643
2.1-10,marriage,geography,Baoruco,2016,219
2.1-10,marriage,geography,Baoruco,2017,275
2.1-10,marriage,geography,Baoruco,2018,293
2.1-10,marriage,geography,Baoruco,2019,337
2.1-10,marriage,geography,Baoruco,2020,242
2.1-10,marriage,geography,Barahona,2016,619
2.1-10,marriage,geography,Barahona,2017,671
2.1-10,marriage,geography,Barahona,2018,663
2.1-10,marriage,geography,Barahona,2019,792
2.1-10,marriage,geography,Barahona,2020,564
2.1-10,marriage,geography,Dajabón,2016,210
2.1-10,marriage,geography,Dajabón,2017,219
2.1-10,marriage,geography,Dajabón,2018,217
2.1-10,marriage,geography,Dajabón,2019,243
2.1-10,marriage,geography,Dajabón,2020,128
2.1-10,marriage,geography,Distrito Nacional,2016,7432
2.1-10,marriage,geography,Distrito Nacional,2017,6893
2.1-10,marriage,geography,Distrito Nacional,2018,6623
2.1-10,marriage,geography,Distrito Nacional,2019,7194
2.1-10,marriage,geography,Distrito Nacional,2020,4794
2.1-10,marriage,geography,Duarte,2016,1744
2.1-10,marriage,geography,Duarte,2017,1524
2.1-10,marriage,geography,Duarte,2018,1614
2.1-10,marriage,geography,Duarte,2019,1657
2.1-10,marriage,geography,Duarte,2020,1175
2.1-10,marriage,geography,El Seibo,2016,209
2.1-10,marriage,geography,El Seibo,2017,170
2.1-10,marriage,geography,El Seibo,2018,219
2.1-10,marriage,geography,El Seibo,2019,227
2.1-10,marriage,geography,El Seibo,2020,156
2.1-10,marriage,geography,Elías Piña,2016,37
2.1-10,marriage,geography,Elías Piña,2017,64
2.1-10,marriage,geography,Elías Piña,2018,35
