level,name_es,sex,age_band,year,persons
province,Azua,both,0-4,2013,23471
province,Azua,both,0-4,2014,23587
province,Azua,both,0-4,2015,23702
province,Azua,both,0-4,2016,23358
province,Azua,both,0-4,2017,23013
province,Azua,both,0-4,2018,22669
province,Azua,both,0-4,2019,22322
province,Azua,both,0-4,2020,21974
province,Azua,both,0-4,2021,21618
province,Azua,both,0-4,2022,21260
province,Azua,both,0-4,2023,20902
province,Azua,both,0-4,2024,20543
province,Azua,both,0-4,2025,20183
province,Azua,both,0-4,2026,19839
province,Azua,both,0-4,2027,19495
province,Azua,both,0-4,2028,19152
province,Azua,both,0-4,2029,18807
province,Azua,both,0-4,2030,18461
province,Azua,both,10-14,2013,24090
province,Azua,both,10-14,2014,23942
province,Azua,both,10-14,2015,23794
province,Azua,both,10-14,2016,23303
province,Azua,both,10-14,2017,22811
province,Azua,both,10-14,2018,22320
province,Azua,both,10-14,2019,21826
province,Azua,both,10-14,2020,21331
province,Azua,both,10-14,2021,21476
province,Azua,both,10-14,2022,21620
province,Azua,both,10-14,2023,21764
province,Azua,both,10-14,2024,21907
province,Azua,both,10-14,2025,22049
province,Azua,both,10-14,2026,21721
province,Azua,both,10-14,2027,21392
province,Azua,both,10-14,2028,21063
province,Azua,both,10-14,2029,20732
province,Azua,both,10-14,2030,20401
province,Azua,both,15-19,2013,22411
province,Azua,both,15-19,2014,22265
province,Azua,both,15-19,2015,22117
province,Azua,both,15-19,2016,22006
province,Azua,both,15-19,2017,21893
province,Azua,both,15-19,2018,21779
province,Azua,both,15-19,2019,21664
province,Azua,both,15-19,2020,21546
province,Azua,both,15-19,2021,21085
province,Azua,both,15-19,2022,20623
province,Azua,both,15-19,2023,20160
province,Azua,both,15-19,2024,19696
province,Azua,both,15-19,2025,19231
province,Azua,both,15-19,2026,19404
province,Azua,both,15-19,2027,19576
province,Azua,both,15-19,2028,19748
province,Azua,both,15-19,2029,19919
province,Azua,both,15-19,2030,20089
province,Azua,both,20-24,2013,19353
province,Azua,both,20-24,2014,19340
province,Azua,both,20-24,2015,19326
province,Azua,both,20-24,2016,19232
province,Azua,both,20-24,2017,19136
province,Azua,both,20-24,2018,19040
province,Azua,both,20-24,2019,18941
province,Azua,both,20-24,2020,18841
province,Azua,both,20-24,2021,18769
province,Azua,both,20-24,2022,18695
province,Azua,both,20-24,2023,18622
province,Azua,both,20-24,2024,18545
province,Azua,both,20-24,2025,18467
province,Azua,both,20-24,2026,18042
province,Azua,both,20-24,2027,17616
province,Azua,both,20-24,2028,17191
province,Azua,both,20-24,2029,16764
province,Azua,both,20-24,2030,16336
province,Azua,both,25-29,2013,17020
province,Azua,both,25-29,2014,17162
province,Azua,both,25-29,2015,17303
province,Azua,both,25-29,2016,17320
province,Azua,both,25-29,2017,17337
province,Azua,both,25-29,2018,17355
province,Azua,both,25-29,2019,17369
province,Azua,both,25-29,2020,17385
province,Azua,both,25-29,2021,17319
province,Azua,both,25-29,2022,17251
province,Azua,both,25-29,2023,17183
province,Azua,both,25-29,2024,17112
province,Azua,both,25-29,2025,17040
province,Azua,both,25-29,2026,16990
province,Azua,both,25-29,2027,16939
province,Azua,both,25-29,2028,16886
province,Azua,both,25-29,2029,16831
province,Azua,both,25-29,2030,16776
province,Azua,both,30-34,2013,14837
province,Azua,both,30-34,2014,15006
province,Azua,both,30-34,2015,15148
province,Azua,both,30-34,2016,15308
province,Azua,both,30-34,2017,15467
province,Azua,both,30-34,2018,15627
province,Azua,both,30-34,2019,15786
province,Azua,both,30-34,2020,15944
province,Azua,both,30-34,2021,15979
province,Azua,both,30-34,2022,16014
province,Azua,both,30-34,2023,16048
province,Azua,both,30-34,2024,16081
province,Azua,both,30-34,2025,16115
province,Azua,both,30-34,2026,16066
province,Azua,both,30-34,2027,16014
province,Azua,both,30-34,2028,15963
province,Azua,both,30-34,2029,15910
province,Azua,both,30-34,2030,15855
province,Azua,both,35-39,2013,13003
province,Azua,both,35-39,2014,13072
province,Azua,both,35-39,2015,13126
province,Azua,both,35-39,2016,13347
province,Azua,both,35-39,2017,13559
province,Azua,both,35-39,2018,13810
province,Azua,both,35-39,2019,13996
province,Azua,both,35-39,2020,14155
province,Azua,both,35-39,2021,14325
province,Azua,both,35-39,2022,14494
province,Azua,both,35-39,2023,14663
province,Azua,both,35-39,2024,14832
province,Azua,both,35-39,2025,15000
province,Azua,both,35-39,2026,15045
province,Azua,both,35-39,2027,15091
province,Azua,both,35-39,2028,15137
province,Azua,both,35-39,2029,15181
province,Azua,both,35-39,2030,15225
province,Azua,both,40-44,2013,11658
province,Azua,both,40-44,2014,11796
province,Azua,both,40-44,2015,11924
province,Azua,both,40-44,2016,12032
province,Azua,both,40-44,2017,12132
province,Azua,both,40-44,2018,12238
province,Azua,both,40-44,2019,12317
province,Azua,both,40-44,2020,12382
province,Azua,both,40-44,2021,12609
province,Azua,both,40-44,2022,12829
province,Azua,both,40-44,2023,13086
province,Azua,both,40-44,2024,13279
province,Azua,both,40-44,2025,13448
province,Azua,both,40-44,2026,13622
province,Azua,both,40-44,2027,13796
province,Azua,both,40-44,2028,13970
province,Azua,both,40-44,2029,14143
province,Azua,both,40-44,2030,14317
province,Azua,both,45-49,2013,10359
province,Azua,both,45-49,2014,10457
province,Azua,both,45-49,2015,10550
province,Azua,both,45-49,2016,10718
province,Azua,both,45-49,2017,10878
province,Azua,both,45-49,2018,11041
province,Azua,both,45-49,2019,11186
province,Azua,both,45-49,2020,11321
province,Azua,both,45-49,2021,11434
province,Azua,both,45-49,2022,11540
province,Azua,both,45-49,2023,11649
province,Azua,both,45-49,2024,11734
province,Azua,both,45-49,2025,11806
province,Azua,both,45-49,2026,12035
province,Azua,both,45-49,2027,12257
province,Azua,both,45-49,2028,12517
province,Azua,both,45-49,2029,12714
province,Azua,both,45-49,2030,12887
province,Azua,both,5-9,2013,23411
province,Azua,both,5-9,2014,22901
province,Azua,both,5-9,2015,22389
province,Azua,both,5-9,2016,22517
province,Azua,both,5-9,2017,22645
province,Azua,both,5-9,2018,22773
province,Azua,both,5-9,2019,22899
province,Azua,both,5-9,2020,23024
province,Azua,both,5-9,2021,22688
province,Azua,both,5-9,2022,22352
province,Azua,both,5-9,2023,22015
province,Azua,both,5-9,2024,21677
province,Azua,both,5-9,2025,21338
province,Azua,both,5-9,2026,20990
province,Azua,both,5-9,2027,20641
province,Azua,both,5-9,2028,20292
province,Azua,both,5-9,2029,19942
province,Azua,both,5-9,2030,19590
province,Azua,both,50-54,2013,9370
province,Azua,both,50-54,2014,9428
province,Azua,both,50-54,2015,9488
province,Azua,both,50-54,2016,9605
province,Azua,both,50-54,2017,9719
province,Azua,both,50-54,2018,9833
province,Azua,both,50-54,2019,9938
province,Azua,both,50-54,2020,10036
province,Azua,both,50-54,2021,10205
province,Azua,both,50-54,2022,10368
province,Azua,both,50-54,2023,10533
province,Azua,both,50-54,2024,10680
province,Azua,both,50-54,2025,10819
province,Azua,both,50-54,2026,10936
province,Azua,both,50-54,2027,11043
province,Azua,both,50-54,2028,11156
province,Azua,both,50-54,2029,11246
province,Azua,both,50-54,2030,11322
province,Azua,both,55-59,2013,8173
province,Azua,both,55-59,2014,8387
province,Azua,both,55-59,2015,8608
province,Azua,both,55-59,2016,8668
province,Azua,both,55-59,2017,8729
province,Azua,both,55-59,2018,8792
province,Azua,both,55-59,2019,8857
province,Azua,both,55-59,2020,8922
province,Azua,both,55-59,2021,9042
province,Azua,both,55-59,2022,9158
